"","rank","name","hw1","hw2","hw3","hw4","final","overall","pass"
"23",53,"Gaia",50,66,1,97,32,49.2,FALSE
"88",54,"Shyam",46,18,49,34,98,49,FALSE
"82",55,"Lily-Ann",7,85,89,11,53,49,FALSE
"78",56,"Ruari",60,16,30,78,61,49,FALSE
"6",57,"Klara",17,65,39,70,53,48.8,FALSE
"94",58,"Renee",26,85,7,51,73,48.4,FALSE
"71",59,"Akeem",40,27,64,44,66,48.2,FALSE
"48",60,"Ceara",3,90,31,81,35,48,FALSE
"1",61,"Claire",78,13,74,36,38,47.8,FALSE
"46",62,"Indiana",88,39,67,21,23,47.6,FALSE
"29",63,"Christopher",68,16,70,34,50,47.6,FALSE
"33",64,"Lola",54,7,89,80,7,47.4,FALSE
"50",65,"Milo",96,34,49,53,2,46.8,FALSE
"95",66,"Zain",81,3,74,63,11,46.4,FALSE
"3",67,"Rheanna",50,7,51,36,87,46.2,FALSE
"27",68,"Franklyn",50,72,15,14,78,45.8,FALSE
"74",69,"Abby",64,12,53,23,76,45.6,FALSE
"22",70,"Uzair",14,22,71,93,26,45.2,FALSE
"87",71,"Ariel",73,37,9,63,36,43.6,FALSE
"60",72,"Esther",31,38,7,39,97,42.4,FALSE
"79",73,"Alana",92,35,10,16,54,41.4,FALSE
"42",74,"Suhayb",6,35,46,62,57,41.2,FALSE
"47",75,"Elis",24,59,2,60,60,41,FALSE
"100",76,"Dillon",88,47,33,24,9,40.2,FALSE
"72",77,"Lorraine",23,58,90,9,20,40,FALSE
"86",78,"Faizaan",7,47,42,71,32,39.8,FALSE
"83",79,"Oakley",60,0,86,31,22,39.8,FALSE
"51",80,"Mikhail",8,65,57,31,37,39.6,FALSE
"31",81,"Florrie",27,24,61,27,59,39.6,FALSE
"81",82,"Dwayne",18,40,97,23,16,38.8,FALSE
"49",83,"Herman",27,51,49,42,24,38.6,FALSE
"11",84,"Tashan",20,53,27,63,22,37,FALSE
"45",85,"Wasim",11,11,36,95,28,36.2,FALSE
"69",86,"Jada",6,0,52,73,49,36,FALSE
"65",87,"Isobella",37,37,11,58,31,34.8,FALSE
"13",88,"Rea",16,61,68,12,15,34.4,FALSE
"76",89,"Braxton",29,66,5,19,48,33.4,FALSE
"73",90,"Sia",8,81,16,1,59,33,FALSE
"91",91,"Wiktoria",17,42,4,82,17,32.4,FALSE
"89",92,"Frances",30,35,24,17,49,31,FALSE
"44",93,"Leo",6,35,1,95,18,31,FALSE
"75",94,"Suhail",27,14,24,13,75,30.6,FALSE
"26",95,"Tevin",76,13,22,23,10,28.8,FALSE
"28",96,"Kianna",6,25,12,51,47,28.2,FALSE
"92",97,"Jobe",24,27,71,9,8,27.8,FALSE
"63",98,"Reem",20,46,13,31,21,26.2,FALSE
"14",99,"Elvis",17,27,43,30,14,26.2,FALSE
"17",100,"Oskar",6,56,20,41,0,24.6,FALSE
